objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"504","175878","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","113926763","5.79209","6.18639","3.4623","4670","4161","thing","504","2","4","120","120","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Cudów Świata","68448","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","90828909","7.55838","7.67003","2.3156","107","149935","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Cudów Świata: Miasta","111661","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","132904596","7.3688","7.80298","2.3476","0","31344","thing","7 Wonders: Cities","2","8","40","40","40","2016","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","Rebel Sp. z o.o.","Polish","2016","Polish edition"
"Aeon's End: Legacy","241451","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90799753","7.28209","8.05713","2.8367","242","11032","thing","Aeon's End: Legacy","1","4","90","90","45","2021","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","Portal Games","Polish","2021","Polish edition"
"Apiary","400314","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132149600","7.17447","7.74638","3.0034","317","12666","thing","Apiary","1","5","90","90","60","2023","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Ark Nova","342942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98970937","8.34814","8.53716","3.7828","3","78116","thing","Ark Nova","1","4","150","150","90","2022","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Feuerland Spiele; Portal Games","Polish","2022","Polish edition"
"Ark Nova: Wodny Świat","368966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113673647","7.91692","8.91274","3.8136","0","23092","thing","Ark Nova: Marine Worlds","1","4","150","150","90","2023","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Feuerland Spiele; Portal Games","Polish","2023","Polish edition"
"Azul: Witraże Sintry","256226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107596239","7.00232","7.29142","2.0068","478","23884","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Lacerta; Next Move Games","Polish","2019","Lacerta Polish edition"
"BANG!","3955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828964","6.32401","6.48852","1.633","1705","44297","thing","BANG!","4","7","40","40","20","2012","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Bard Centrum Gier; DV Games","Polish","2012","Bard Polish edition 2012"
"BANG! Armed & Dangerous","230505","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","131899385","5.63364","7.271","1.6667","0","1285","thing","BANG! Armed & Dangerous","4","7","40","40","20","2017","5,6,7","7","10+","","","","","","","expansion","","","","",""
"BANG! Dodge City","9653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828972","6.37126","6.87079","1.646","0","9326","thing","BANG! Dodge City","3","8","40","40","20","2014","5,6,7,8","7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Bard Centrum Gier","Polish","2014","Polish edition"
"BANG! W Samo Południe, Za Garść Kart","161953","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828974","5.62409","7.07339","1.5","0","864","thing","BANG! High Noon/A Fistful of Cards","4","7","40","40","20","2015","5,6,7","6,7","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Bard Centrum Gier","Polish","2015","Polish edition"
"Bitoku","323612","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132149605","7.1941","7.79751","3.7635","299","13917","thing","Bitoku","1","4","120","120","120","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92447674","8.40082","8.57609","3.8689","1","75123","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Brzdęk! Legacy: Acquisitions Incorporated","266507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","104348639","7.94374","8.51291","2.7342","24","18367","thing","Clank! Legacy: Acquisitions Incorporated","2","4","120","120","90","2022","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Lucrum Games","Polish","2022","Polish edition"
"Brzdęk! W! Kosmosie!: Raban w próżni","233371","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","90829072","7.44146","7.76899","2.5816","153","22516","thing","Clank! In! Space!: A Deck-Building Adventure","2","4","90","90","45","2019","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Lucrum Games","Polish","2019","Polish edition, first printing"
"Calico","283155","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90799830","7.25827","7.50344","2.1893","253","38236","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","Alderac Entertainment Group; Flatout Games; Lucky Duck Games","Polish","2020","Polish edition"
"Carcassonne Big Box","164127","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828901","6.58693","7.86683","2.2237","0","5246","thing","Carcassonne Big Box 5","2","8","40","40","40","2014","2,3,4,5,6","2,3","6+","No necessary in-game text","","","","","","standalone","","MINDOK","Czech; Polish","2014","Czech/Polish edition"
"Cascadia","295947","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132149602","7.75024","7.91497","1.8491","54","80631","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cat in the Box","345972","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124662785","7.12634","7.47742","2.039","350","21822","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2024","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","Lucky Duck Games; Pegasus Spiele","Italian; Polish","2024","Polish/Italian edition"
"Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic","383010","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","129673528","6.18166","8.8085","2.6667","2211","2859","thing","Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic","2","4","120","120","60","2024","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Cubitos","298069","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110155032","7.01006","7.38782","2.1724","466","16723","thing","Cubitos","2","4","60","60","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cuphead: Fast Rolling Dice Game","344338","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154807","5.87279","7.17737","2","3909","1753","thing","Cuphead: Fast Rolling Dice Game","1","4","45","45","30","2021","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cywilizacja: Poprzez Wieki","182028","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","117359928","8.03381","8.26504","4.4403","15","38790","thing","Through the Ages: A New Story of Civilization","2","4","120","120","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Czech Games Edition; Rebel Sp. z o.o.","Polish","2015","Polish edition"
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90799770","7.54537","7.767","1.833","114","41838","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","2 Pionki; Portal Games; Scorpion Masqué","Polish","2018","Polish edition"
"Distilled","295895","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154992","7.19905","7.78593","3.0132","293","12812","thing","Distilled","1","5","150","150","30","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Diuna: Imperium","316554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110154788","8.22572","8.4191","3.0669","6","71740","thing","Dune: Imperium","1","4","120","120","60","2021","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Dire Wolf; Lucky Duck Games","Polish","2021","Polish edition"
"Dixit Jinx","119407","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98429689","5.57855","5.73354","1.1967","10146","2212","thing","Dixit Jinx","3","6","15","15","15","2012","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"DOG","2633","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828792","5.86132","6.33698","1.4286","3998","3457","thing","DOG","2","6","45","45","45","1997","4,6","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Dominion (Second Edition) Big Box","216849","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154738","6.31943","8.16416","2.2857","0","3294","thing","Dominion (Second Edition) Big Box","2","6","30","30","30","2016","2,3,4,5,6","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Dune: Imperium – Uprising","397598","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132149610","8.13785","8.71373","3.5","11","20461","thing","Dune: Imperium – Uprising","1","6","120","120","60","2023","1,2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Eksplodujące kotki","172225","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","108666359","5.88046","6.06561","1.0813","3848","85132","thing","Exploding Kittens","2","5","15","15","15","2017","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2017","Polish edition"
"Findorff","360617","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110155041","5.89307","7.02519","2.6875","3762","1170","thing","Findorff","1","5","75","75","75","2022","1,2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Fishing","419195","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","124662874","6.38038","7.33337","1.8837","1557","4574","thing","Fishing","3","5","60","60","40","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Gaia Project","220308","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132149597","8.0959","8.35885","4.399","13","36487","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Ghost Stories","37046","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","106848331","7.05648","7.26053","2.9037","429","28267","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","0","0","0","0","0","0","0","0","3","","T","","","","98429724","8.12171","8.38853","3.6356","12","83016","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Great Western Trail","193738","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154819","7.99553","8.16662","3.6974","17","46239","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Gwent: Monsters and Scoia'tael","178147","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","90799807","5.75129","6.67572","1.625","5185","1941","thing","Gwent: Monsters and Scoia'tael","2","2","30","30","5","2015","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
